Symbol,Name,Sector,Industry
AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AIRI,Air Industries Group,Capital Goods,Military/Government/Technical
AL,Air Lease Corporation,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AYR,Aircastle Limited,Technology,Diversified Commercial Services
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
AIN,Albany International Corporation,Basic Industries,Textiles
ALB,Albemarle Corporation,Basic Industries,Major Chemicals
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
AXU,Alexco Resource Corp,Basic Industries,Precious Metals
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALO,Alio Gold Inc.,Basic Industries,Precious Metals
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services
ALLK,Allakos Inc.,Health Care,Major Pharmaceuticals
Y,Alleghany Corporation,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services
ALGRU,Allegro Merger Corp.,Finance,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGN,Allergan plc.,Health Care,Major Pharmaceuticals
ALE,"Allete, Inc.",Public Utilities,Power Generation
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
AMMA,"Alliance MMA, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
AOI,"Alliance One International, Inc.",Consumer Services,Farming/Seeds/Milling
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers
LNT,Alliant Energy Corporation,Public Utilities,Power Generation
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc.,Finance,Major Banks
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APT,"Alpha Pro Tech, Ltd.",Health Care,Industrial Specialties
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing"
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals
AMR,"Alta Mesa Resources, Inc.",Finance,Business Services
AMRWW,"Alta Mesa Resources, Inc.",Finance,Business Services
AABA,Altaba Inc.,Technology,EDP Services
ALTR,Altair Engineering Inc.,Technology,Computer Software: Prepackaged Software
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software
ATUS,"Altice USA, Inc.",Consumer Services,Television Services
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals
AAMC,Altisource Asset Management Corp,Finance,Real Estate
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",Technology,Semiconductors
AMCX,AMC Networks Inc.,Consumer Services,Television Services
DIT,AMCON Distributing Company,Consumer Non-Durables,Food Distributors
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,Health Care,Medical/Nursing Services
UHAL,Amerco,Consumer Services,Rental/Leasing Companies
AEE,Ameren Corporation,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction
AMRH,"Ameri Holdings, Inc.",Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AXP,American Express Company,Finance,Finance: Consumer Services
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers
AMID,"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution
AMNB,"American National Bankshares, Inc.",Finance,Major Banks
ANAT,American National Insurance Company,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads
ARL,"American Realty Investors, Inc.",Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",Health Care,Hospital/Nursing Management
AMRB,American River Bankshares,Finance,Major Banks
AMS,American Shared Hospital Services,Health Care,Medical Specialities
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software
AWR,American States Water Company,Public Utilities,Water Supply
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals
AWK,American Water Works,Public Utilities,Water Supply
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
ABCB,Ameris Bancorp,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
ATLO,Ames National Corporation,Finance,Major Banks
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors
AMN,AMN Healthcare Services Inc,Technology,Professional Services
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APH,Amphenol Corporation,Capital Goods,Electrical Products
AMPE,"Ampio Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APHB,AmpliPhi Biosciences Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AFSS,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
APC,Anadarko Petroleum Corporation,Energy,Oil & Gas Production
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,Finance,Banks
ANDV,Andeavor,Energy,Integrated oil Companies
ANDX,Andeavor Logistics LP,Energy,Natural Gas Distribution
ANGI,ANGI Homeservices Inc.,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments
AMGP,Antero Midstream GP LP,Public Utilities,Natural Gas Distribution
AM,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution
ANTM,"Anthem, Inc.",Health Care,Medical Specialities
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts
AON,Aon plc,Finance,Specialty Insurers
APA,Apache Corporation,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
APLS,"Apellis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts
APEN,"Apollo Endosurgery, Inc.",Health Care,Medical/Dental Instruments
APO,"Apollo Global Management, LLC",Finance,Investment Managers
AMEH,"Apollo Medical Holdings, Inc.",Consumer Services,Professional Services
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts
AAPL,Apple Inc.,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties
AMAT,"Applied Materials, Inc.",Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
AREX,Approach Resources Inc.,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",Health Care,Major Pharmaceuticals
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
WTR,"Aqua America, Inc.",Public Utilities,Water Supply
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
AQ,Aquantia Corp.,Technology,Semiconductors
WAAS,AquaVenture Holdings Limited,Public Utilities,Water Supply
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services
ARCH,"Arch Coal, Inc.",Energy,Coal Mining
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
AROC,"Archrock, Inc.",Public Utilities,Natural Gas Distribution
FUV,"Arcimoto, Inc.",Consumer Non-Durables,Motor Vehicles
ARNC,Arconic Inc.,Capital Goods,Metal Fabrications
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants
AI,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AIC,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AIW,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment
ARW,"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components
AROW,Arrow Financial Corporation,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
AKG,Asanko Gold Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services
ASGN,ASGN Incorporated,Technology,Professional Services
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
AINC,Ashford Inc.,Consumer Services,Professional Services
ASH,Ashland Global Holdings Inc.,Consumer Durables,Specialty Chemicals
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals
ASB,Associated Banc-Corp,Finance,Major Banks
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance
AIZP,"Assurant, Inc.",Finance,Accident &Health Insurance
ASFI,"Asta Funding, Inc.",Finance,Finance Companies
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
AST,"Asterias Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,Technology,EDP Services
ASV,"ASV Holdings, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
HOME,At Home Group Inc.,Consumer Services,Home Furnishings
T,AT&T Inc.,Public Utilities,Telecommunications Equipment
TBB,AT&T Inc.,Public Utilities,Telecommunications Equipment
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services
ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals
ATKR,Atkore International Group Inc.,Miscellaneous,Industrial Machinery/Components
ATAC,Atlantic Acquisition Corp.,Consumer Non-Durables,Food Distributors
ATACR,Atlantic Acquisition Corp.,Consumer Non-Durables,Food Distributors
ATACU,Atlantic Acquisition Corp.,Consumer Non-Durables,Food Distributors
AAME,Atlantic American Corporation,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks
AT,Atlantic Power Corporation,Energy,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
AFHBL,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
ATO,Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission
